# Created At: Thu Sep 25 2025 10:19:14 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=COL1A1%2CCOL1A2%2CCOL3A1%2CFN1%2CCOL6A2%2CPOSTN%2CITGB2%2CITGAM%2CITGAX%2CCOL5A1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,aggregated,243313,,COL1A1,,,
abdomen,aggregated,243313,,COL1A2,,,
abdomen,aggregated,243313,,COL3A1,,,
abdomen,aggregated,243313,,FN1,,,
abdomen,aggregated,243313,,COL6A2,,,
abdomen,aggregated,243313,,POSTN,,,
abdomen,aggregated,243313,,ITGB2,,,
abdomen,aggregated,243313,,ITGAM,,,
abdomen,aggregated,243313,,ITGAX,,,
abdomen,aggregated,243313,,COL5A1,,,
abdomen,cell,243313,,COL1A1,,,
abdomen,cell,243313,,COL1A2,,,
abdomen,cell,243313,,COL3A1,,,
abdomen,cell,243313,,FN1,,,
abdomen,cell,243313,,COL6A2,,,
abdomen,cell,243313,,POSTN,,,
abdomen,cell,243313,,ITGB2,,,
abdomen,cell,243313,,ITGAM,,,
abdomen,cell,243313,,ITGAX,,,
abdomen,cell,243313,,COL5A1,,,
abdomen,epithelial cell,55192,,COL1A1,,,
abdomen,epithelial cell,55192,,COL1A2,,,
abdomen,epithelial cell,55192,,COL3A1,,,
abdomen,epithelial cell,55192,,FN1,,,
abdomen,epithelial cell,55192,,COL6A2,,,
abdomen,epithelial cell,55192,,POSTN,,,
abdomen,epithelial cell,55192,,ITGB2,,,
abdomen,epithelial cell,55192,,ITGAM,,,
abdomen,epithelial cell,55192,,ITGAX,,,
abdomen,epithelial cell,55192,,COL5A1,,,
abdomen,mononuclear phagocyte,57793,,COL1A1,,,
abdomen,mononuclear phagocyte,57793,,COL1A2,,,
abdomen,mononuclear phagocyte,57793,,COL3A1,,,
abdomen,mononuclear phagocyte,57793,,FN1,,,
abdomen,mononuclear phagocyte,57793,,COL6A2,,,
abdomen,mononuclear phagocyte,57793,,POSTN,,,
abdomen,mononuclear phagocyte,57793,,ITGB2,,,
abdomen,mononuclear phagocyte,57793,,ITGAM,,,
abdomen,mononuclear phagocyte,57793,,ITGAX,,,
abdomen,mononuclear phagocyte,57793,,COL5A1,,,
abdomen,secretory cell,54007,,COL1A1,,,
abdomen,secretory cell,54007,,COL1A2,,,
abdomen,secretory cell,54007,,COL3A1,,,
abdomen,secretory cell,54007,,FN1,,,
abdomen,secretory cell,54007,,COL6A2,,,
abdomen,secretory cell,54007,,POSTN,,,
abdomen,secretory cell,54007,,ITGB2,,,
abdomen,secretory cell,54007,,ITGAM,,,
abdomen,secretory cell,54007,,ITGAX,,,
abdomen,secretory cell,54007,,COL5A1,,,
abdomen,lymphocyte,99147,,COL1A1,,,
abdomen,lymphocyte,99147,,COL1A2,,,
abdomen,lymphocyte,99147,,COL3A1,,,
abdomen,lymphocyte,99147,,FN1,,,
abdomen,lymphocyte,99147,,COL6A2,,,
abdomen,lymphocyte,99147,,POSTN,,,
abdomen,lymphocyte,99147,,ITGB2,,,
abdomen,lymphocyte,99147,,ITGAM,,,
abdomen,lymphocyte,99147,,ITGAX,,,
abdomen,lymphocyte,99147,,COL5A1,,,
abdomen,leukocyte,157117,,COL1A1,,,
abdomen,leukocyte,157117,,COL1A2,,,
abdomen,leukocyte,157117,,COL3A1,,,
abdomen,leukocyte,157117,,FN1,,,
abdomen,leukocyte,157117,,COL6A2,,,
abdomen,leukocyte,157117,,POSTN,,,
abdomen,leukocyte,157117,,ITGB2,,,
abdomen,leukocyte,157117,,ITGAM,,,
abdomen,leukocyte,157117,,ITGAX,,,
abdomen,leukocyte,157117,,COL5A1,,,
abdomen,myeloid leukocyte,55197,,COL1A1,,,
abdomen,myeloid leukocyte,55197,,COL1A2,,,
abdomen,myeloid leukocyte,55197,,COL3A1,,,
abdomen,myeloid leukocyte,55197,,FN1,,,
abdomen,myeloid leukocyte,55197,,COL6A2,,,
abdomen,myeloid leukocyte,55197,,POSTN,,,
abdomen,myeloid leukocyte,55197,,ITGB2,,,
abdomen,myeloid leukocyte,55197,,ITGAM,,,
abdomen,myeloid leukocyte,55197,,ITGAX,,,
abdomen,myeloid leukocyte,55197,,COL5A1,,,
abdomen,mononuclear cell,156940,,COL1A1,,,
abdomen,mononuclear cell,156940,,COL1A2,,,
abdomen,mononuclear cell,156940,,COL3A1,,,
abdomen,mononuclear cell,156940,,FN1,,,
abdomen,mononuclear cell,156940,,COL6A2,,,
abdomen,mononuclear cell,156940,,POSTN,,,
abdomen,mononuclear cell,156940,,ITGB2,,,
abdomen,mononuclear cell,156940,,ITGAM,,,
abdomen,mononuclear cell,156940,,ITGAX,,,
abdomen,mononuclear cell,156940,,COL5A1,,,
abdomen,lymphocyte of B lineage,11485,,COL1A1,,,
abdomen,lymphocyte of B lineage,11485,,COL1A2,,,
abdomen,lymphocyte of B lineage,11485,,COL3A1,,,
abdomen,lymphocyte of B lineage,11485,,FN1,,,
abdomen,lymphocyte of B lineage,11485,,COL6A2,,,
abdomen,lymphocyte of B lineage,11485,,POSTN,,,
abdomen,lymphocyte of B lineage,11485,,ITGB2,,,
abdomen,lymphocyte of B lineage,11485,,ITGAM,,,
abdomen,lymphocyte of B lineage,11485,,ITGAX,,,
abdomen,lymphocyte of B lineage,11485,,COL5A1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,COL1A1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,COL1A2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,COL3A1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,FN1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,COL6A2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,POSTN,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ITGB2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ITGAM,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ITGAX,,,
abdomen,fallopian tube secretory epithelial cell,53830,,COL5A1,,,
abdomen,mast cell,177,,COL1A1,,,
abdomen,mast cell,177,,COL1A2,,,
abdomen,mast cell,177,,COL3A1,,,
abdomen,mast cell,177,,FN1,,,
abdomen,mast cell,177,,COL6A2,,,
abdomen,mast cell,177,,POSTN,,,
abdomen,mast cell,177,,ITGB2,,,
abdomen,mast cell,177,,ITGAM,,,
abdomen,mast cell,177,,ITGAX,,,
abdomen,mast cell,177,,COL5A1,,,
abdomen,endothelial cell,1362,,COL1A1,,,
abdomen,endothelial cell,1362,,COL1A2,,,
abdomen,endothelial cell,1362,,COL3A1,,,
abdomen,endothelial cell,1362,,FN1,,,
abdomen,endothelial cell,1362,,COL6A2,,,
abdomen,endothelial cell,1362,,POSTN,,,
abdomen,endothelial cell,1362,,ITGB2,,,
abdomen,endothelial cell,1362,,ITGAM,,,
abdomen,endothelial cell,1362,,ITGAX,,,
abdomen,endothelial cell,1362,,COL5A1,,,
abdomen,monocyte,55020,,COL1A1,,,
abdomen,monocyte,55020,,COL1A2,,,
abdomen,monocyte,55020,,COL3A1,,,
abdomen,monocyte,55020,,FN1,,,
abdomen,monocyte,55020,,COL6A2,,,
abdomen,monocyte,55020,,POSTN,,,
abdomen,monocyte,55020,,ITGB2,,,
abdomen,monocyte,55020,,ITGAM,,,
abdomen,monocyte,55020,,ITGAX,,,
abdomen,monocyte,55020,,COL5A1,,,
abdomen,dendritic cell,2773,,COL1A1,,,
abdomen,dendritic cell,2773,,COL1A2,,,
abdomen,dendritic cell,2773,,COL3A1,,,
abdomen,dendritic cell,2773,,FN1,,,
abdomen,dendritic cell,2773,,COL6A2,,,
abdomen,dendritic cell,2773,,POSTN,,,
abdomen,dendritic cell,2773,,ITGB2,,,
abdomen,dendritic cell,2773,,ITGAM,,,
abdomen,dendritic cell,2773,,ITGAX,,,
abdomen,dendritic cell,2773,,COL5A1,,,
abdomen,plasma cell,5262,,COL1A1,,,
abdomen,plasma cell,5262,,COL1A2,,,
abdomen,plasma cell,5262,,COL3A1,,,
abdomen,plasma cell,5262,,FN1,,,
abdomen,plasma cell,5262,,COL6A2,,,
abdomen,plasma cell,5262,,POSTN,,,
abdomen,plasma cell,5262,,ITGB2,,,
abdomen,plasma cell,5262,,ITGAM,,,
abdomen,plasma cell,5262,,ITGAX,,,
abdomen,plasma cell,5262,,COL5A1,,,
abdomen,B cell,6223,,COL1A1,,,
abdomen,B cell,6223,,COL1A2,,,
abdomen,B cell,6223,,COL3A1,,,
abdomen,B cell,6223,,FN1,,,
abdomen,B cell,6223,,COL6A2,,,
abdomen,B cell,6223,,POSTN,,,
