# Created At: Thu Sep 25 2025 09:07:09 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=NDUFS1%2CNDUFV1%2CSDHA%2CUQCRC1%2CUQCRB%2CCOX4I1%2CCOX5A%2CATP5F1A%2CATP5F1B%2CPPARGC1A&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,aggregated,243313,,NDUFS1,,,
abdomen,aggregated,243313,,NDUFV1,,,
abdomen,aggregated,243313,,SDHA,,,
abdomen,aggregated,243313,,UQCRC1,,,
abdomen,aggregated,243313,,UQCRB,,,
abdomen,aggregated,243313,,COX4I1,,,
abdomen,aggregated,243313,,COX5A,,,
abdomen,aggregated,243313,,ATP5F1A,,,
abdomen,aggregated,243313,,ATP5F1B,,,
abdomen,aggregated,243313,,PPARGC1A,,,
abdomen,cell,243313,,NDUFS1,,,
abdomen,cell,243313,,NDUFV1,,,
abdomen,cell,243313,,SDHA,,,
abdomen,cell,243313,,UQCRC1,,,
abdomen,cell,243313,,UQCRB,,,
abdomen,cell,243313,,COX4I1,,,
abdomen,cell,243313,,COX5A,,,
abdomen,cell,243313,,ATP5F1A,,,
abdomen,cell,243313,,ATP5F1B,,,
abdomen,cell,243313,,PPARGC1A,,,
abdomen,epithelial cell,55192,,NDUFS1,,,
abdomen,epithelial cell,55192,,NDUFV1,,,
abdomen,epithelial cell,55192,,SDHA,,,
abdomen,epithelial cell,55192,,UQCRC1,,,
abdomen,epithelial cell,55192,,UQCRB,,,
abdomen,epithelial cell,55192,,COX4I1,,,
abdomen,epithelial cell,55192,,COX5A,,,
abdomen,epithelial cell,55192,,ATP5F1A,,,
abdomen,epithelial cell,55192,,ATP5F1B,,,
abdomen,epithelial cell,55192,,PPARGC1A,,,
abdomen,mononuclear phagocyte,57793,,NDUFS1,,,
abdomen,mononuclear phagocyte,57793,,NDUFV1,,,
abdomen,mononuclear phagocyte,57793,,SDHA,,,
abdomen,mononuclear phagocyte,57793,,UQCRC1,,,
abdomen,mononuclear phagocyte,57793,,UQCRB,,,
abdomen,mononuclear phagocyte,57793,,COX4I1,,,
abdomen,mononuclear phagocyte,57793,,COX5A,,,
abdomen,mononuclear phagocyte,57793,,ATP5F1A,,,
abdomen,mononuclear phagocyte,57793,,ATP5F1B,,,
abdomen,mononuclear phagocyte,57793,,PPARGC1A,,,
abdomen,secretory cell,54007,,NDUFS1,,,
abdomen,secretory cell,54007,,NDUFV1,,,
abdomen,secretory cell,54007,,SDHA,,,
abdomen,secretory cell,54007,,UQCRC1,,,
abdomen,secretory cell,54007,,UQCRB,,,
abdomen,secretory cell,54007,,COX4I1,,,
abdomen,secretory cell,54007,,COX5A,,,
abdomen,secretory cell,54007,,ATP5F1A,,,
abdomen,secretory cell,54007,,ATP5F1B,,,
abdomen,secretory cell,54007,,PPARGC1A,,,
abdomen,lymphocyte,99147,,NDUFS1,,,
abdomen,lymphocyte,99147,,NDUFV1,,,
abdomen,lymphocyte,99147,,SDHA,,,
abdomen,lymphocyte,99147,,UQCRC1,,,
abdomen,lymphocyte,99147,,UQCRB,,,
abdomen,lymphocyte,99147,,COX4I1,,,
abdomen,lymphocyte,99147,,COX5A,,,
abdomen,lymphocyte,99147,,ATP5F1A,,,
abdomen,lymphocyte,99147,,ATP5F1B,,,
abdomen,lymphocyte,99147,,PPARGC1A,,,
abdomen,leukocyte,157117,,NDUFS1,,,
abdomen,leukocyte,157117,,NDUFV1,,,
abdomen,leukocyte,157117,,SDHA,,,
abdomen,leukocyte,157117,,UQCRC1,,,
abdomen,leukocyte,157117,,UQCRB,,,
abdomen,leukocyte,157117,,COX4I1,,,
abdomen,leukocyte,157117,,COX5A,,,
abdomen,leukocyte,157117,,ATP5F1A,,,
abdomen,leukocyte,157117,,ATP5F1B,,,
abdomen,leukocyte,157117,,PPARGC1A,,,
abdomen,myeloid leukocyte,55197,,NDUFS1,,,
abdomen,myeloid leukocyte,55197,,NDUFV1,,,
abdomen,myeloid leukocyte,55197,,SDHA,,,
abdomen,myeloid leukocyte,55197,,UQCRC1,,,
abdomen,myeloid leukocyte,55197,,UQCRB,,,
abdomen,myeloid leukocyte,55197,,COX4I1,,,
abdomen,myeloid leukocyte,55197,,COX5A,,,
abdomen,myeloid leukocyte,55197,,ATP5F1A,,,
abdomen,myeloid leukocyte,55197,,ATP5F1B,,,
abdomen,myeloid leukocyte,55197,,PPARGC1A,,,
abdomen,mononuclear cell,156940,,NDUFS1,,,
abdomen,mononuclear cell,156940,,NDUFV1,,,
abdomen,mononuclear cell,156940,,SDHA,,,
abdomen,mononuclear cell,156940,,UQCRC1,,,
abdomen,mononuclear cell,156940,,UQCRB,,,
abdomen,mononuclear cell,156940,,COX4I1,,,
abdomen,mononuclear cell,156940,,COX5A,,,
abdomen,mononuclear cell,156940,,ATP5F1A,,,
abdomen,mononuclear cell,156940,,ATP5F1B,,,
abdomen,mononuclear cell,156940,,PPARGC1A,,,
abdomen,lymphocyte of B lineage,11485,,NDUFS1,,,
abdomen,lymphocyte of B lineage,11485,,NDUFV1,,,
abdomen,lymphocyte of B lineage,11485,,SDHA,,,
abdomen,lymphocyte of B lineage,11485,,UQCRC1,,,
abdomen,lymphocyte of B lineage,11485,,UQCRB,,,
abdomen,lymphocyte of B lineage,11485,,COX4I1,,,
abdomen,lymphocyte of B lineage,11485,,COX5A,,,
abdomen,lymphocyte of B lineage,11485,,ATP5F1A,,,
abdomen,lymphocyte of B lineage,11485,,ATP5F1B,,,
abdomen,lymphocyte of B lineage,11485,,PPARGC1A,,,
abdomen,fallopian tube secretory epithelial cell,53830,,NDUFS1,,,
