# Created At: Thu Sep 25 2025 10:10:00 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=SLC9A1%2CSLC4A2%2CSLC4A3%2CCA2%2CCA9%2CCA4%2CSLC4A7%2CSLC4A4%2CSLC4A5&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,fibroblast,31004,,SLC9A1,,,
abdomen,fibroblast,31004,,SLC4A2,,,
abdomen,fibroblast,31004,,SLC4A3,,,
abdomen,fibroblast,31004,,CA2,,,
abdomen,fibroblast,31004,,CA9,,,
abdomen,fibroblast,31004,,CA4,,,
abdomen,fibroblast,31004,,SLC4A7,,,
abdomen,fibroblast,31004,,SLC4A4,,,
abdomen,fibroblast,31004,,SLC4A5,,,
abdomen,T cell,87662,,SLC9A1,,,
abdomen,T cell,87662,,SLC4A2,,,
abdomen,T cell,87662,,SLC4A3,,,
abdomen,T cell,87662,,CA2,,,
abdomen,T cell,87662,,CA9,,,
abdomen,T cell,87662,,CA4,,,
abdomen,T cell,87662,,SLC4A7,,,
abdomen,T cell,87662,,SLC4A4,,,
abdomen,T cell,87662,,SLC4A5,,,
abdomen,B cell,6223,,SLC9A1,,,
abdomen,B cell,6223,,SLC4A2,,,
abdomen,B cell,6223,,SLC4A3,,,
abdomen,B cell,6223,,CA2,,,
abdomen,B cell,6223,,CA9,,,
abdomen,B cell,6223,,CA4,,,
abdomen,B cell,6223,,SLC4A7,,,
abdomen,B cell,6223,,SLC4A4,,,
abdomen,B cell,6223,,SLC4A5,,,
abdomen,plasma cell,5262,,SLC9A1,,,
abdomen,plasma cell,5262,,SLC4A2,,,
abdomen,plasma cell,5262,,SLC4A3,,,
abdomen,plasma cell,5262,,CA2,,,
abdomen,plasma cell,5262,,CA9,,,
abdomen,plasma cell,5262,,CA4,,,
abdomen,plasma cell,5262,,SLC4A7,,,
abdomen,plasma cell,5262,,SLC4A4,,,
abdomen,plasma cell,5262,,SLC4A5,,,
abdomen,dendritic cell,2773,,SLC9A1,,,
abdomen,dendritic cell,2773,,SLC4A2,,,
abdomen,dendritic cell,2773,,SLC4A3,,,
abdomen,dendritic cell,2773,,CA2,,,
abdomen,dendritic cell,2773,,CA9,,,
abdomen,dendritic cell,2773,,CA4,,,
abdomen,dendritic cell,2773,,SLC4A7,,,
abdomen,dendritic cell,2773,,SLC4A4,,,
abdomen,dendritic cell,2773,,SLC4A5,,,
abdomen,monocyte,55020,,SLC9A1,,,
abdomen,monocyte,55020,,SLC4A2,,,
abdomen,monocyte,55020,,SLC4A3,,,
abdomen,monocyte,55020,,CA2,,,
abdomen,monocyte,55020,,CA9,,,
abdomen,monocyte,55020,,CA4,,,
abdomen,monocyte,55020,,SLC4A7,,,
abdomen,monocyte,55020,,SLC4A4,,,
abdomen,monocyte,55020,,SLC4A5,,,
abdomen,endothelial cell,1362,,SLC9A1,,,
abdomen,endothelial cell,1362,,SLC4A2,,,
abdomen,endothelial cell,1362,,SLC4A3,,,
abdomen,endothelial cell,1362,,CA2,,,
abdomen,endothelial cell,1362,,CA9,,,
abdomen,endothelial cell,1362,,CA4,,,
abdomen,endothelial cell,1362,,SLC4A7,,,
abdomen,endothelial cell,1362,,SLC4A4,,,
abdomen,endothelial cell,1362,,SLC4A5,,,
abdomen,mast cell,177,,SLC9A1,,,
abdomen,mast cell,177,,SLC4A2,,,
abdomen,mast cell,177,,SLC4A3,,,
abdomen,mast cell,177,,CA2,,,
abdomen,mast cell,177,,CA9,,,
abdomen,mast cell,177,,CA4,,,
abdomen,mast cell,177,,SLC4A7,,,
abdomen,mast cell,177,,SLC4A4,,,
abdomen,mast cell,177,,SLC4A5,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SLC9A1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SLC4A2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SLC4A3,,,
abdomen,fallopian tube secretory epithelial cell,53830,,CA2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,CA9,,,
abdomen,fallopian tube secretory epithelial cell,53830,,CA4,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SLC4A7,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SLC4A4,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SLC4A5,,,
abdomen,lymphocyte of B lineage,11485,,SLC9A1,,,
abdomen,lymphocyte of B lineage,11485,,SLC4A2,,,
abdomen,lymphocyte of B lineage,11485,,SLC4A3,,,
abdomen,lymphocyte of B lineage,11485,,CA2,,,
abdomen,lymphocyte of B lineage,11485,,CA9,,,
abdomen,lymphocyte of B lineage,11485,,CA4,,,
abdomen,lymphocyte of B lineage,11485,,SLC4A7,,,
abdomen,lymphocyte of B lineage,11485,,SLC4A4,,,
abdomen,lymphocyte of B lineage,11485,,SLC4A5,,,
abdomen,mononuclear cell,156940,,SLC9A1,,,
abdomen,mononuclear cell,156940,,SLC4A2,,,
abdomen,mononuclear cell,156940,,SLC4A3,,,
abdomen,mononuclear cell,156940,,CA2,,,
abdomen,mononuclear cell,156940,,CA9,,,
abdomen,mononuclear cell,156940,,CA4,,,
abdomen,mononuclear cell,156940,,SLC4A7,,,
abdomen,mononuclear cell,156940,,SLC4A4,,,
abdomen,mononuclear cell,156940,,SLC4A5,,,
abdomen,myeloid leukocyte,55197,,SLC9A1,,,
abdomen,myeloid leukocyte,55197,,SLC4A2,,,
abdomen,myeloid leukocyte,55197,,SLC4A3,,,
abdomen,myeloid leukocyte,55197,,CA2,,,
abdomen,myeloid leukocyte,55197,,CA9,,,
abdomen,myeloid leukocyte,55197,,CA4,,,
abdomen,myeloid leukocyte,55197,,SLC4A7,,,
abdomen,myeloid leukocyte,55197,,SLC4A4,,,
abdomen,myeloid leukocyte,55197,,SLC4A5,,,
abdomen,leukocyte,157117,,SLC9A1,,,
abdomen,leukocyte,157117,,SLC4A2,,,
abdomen,leukocyte,157117,,SLC4A3,,,
abdomen,leukocyte,157117,,CA2,,,
abdomen,leukocyte,157117,,CA9,,,
abdomen,leukocyte,157117,,CA4,,,
abdomen,leukocyte,157117,,SLC4A7,,,
abdomen,leukocyte,157117,,SLC4A4,,,
abdomen,leukocyte,157117,,SLC4A5,,,
abdomen,lymphocyte,99147,,SLC9A1,,,
abdomen,lymphocyte,99147,,SLC4A2,,,
abdomen,lymphocyte,99147,,SLC4A3,,,
abdomen,lymphocyte,99147,,CA2,,,
abdomen,lymphocyte,99147,,CA9,,,
abdomen,lymphocyte,99147,,CA4,,,
abdomen,lymphocyte,99147,,SLC4A7,,,
abdomen,lymphocyte,99147,,SLC4A4,,,
abdomen,lymphocyte,99147,,SLC4A5,,,
abdomen,secretory cell,54007,,SLC9A1,,,
abdomen,secretory cell,54007,,SLC4A2,,,
abdomen,secretory cell,54007,,SLC4A3,,,
abdomen,secretory cell,54007,,CA2,,,
abdomen,secretory cell,54007,,CA9,,,
abdomen,secretory cell,54007,,CA4,,,
abdomen,secretory cell,54007,,SLC4A7,,,
abdomen,secretory cell,54007,,SLC4A4,,,
abdomen,secretory cell,54007,,SLC4A5,,,
abdomen,mononuclear phagocyte,57793,,SLC9A1,,,
abdomen,mononuclear phagocyte,57793,,SLC4A2,,,
abdomen,mononuclear phagocyte,57793,,SLC4A3,,,
abdomen,mononuclear phagocyte,57793,,CA2,,,
abdomen,mononuclear phagocyte,57793,,CA9,,,
abdomen,mononuclear phagocyte,57793,,CA4,,,
abdomen,mononuclear phagocyte,57793,,SLC4A7,,,
abdomen,mononuclear phagocyte,57793,,SLC4A4,,,
abdomen,mononuclear phagocyte,57793,,SLC4A5,,,
abdomen,epithelial cell,55192,,SLC9A1,,,
abdomen,epithelial cell,55192,,SLC4A2,,,
