# Created At: Thu Sep 25 2025 09:11:23 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CS%2CACO2%2CIDH3A%2COGDH%2CDLST%2CSUCLG1%2CSDHA%2CFH%2CMDH2%2CPC&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,fibroblast,31004,,CS,,,
abdomen,fibroblast,31004,,ACO2,,,
abdomen,fibroblast,31004,,IDH3A,,,
abdomen,fibroblast,31004,,OGDH,,,
abdomen,fibroblast,31004,,DLST,,,
abdomen,fibroblast,31004,,SUCLG1,,,
abdomen,fibroblast,31004,,SDHA,,,
abdomen,fibroblast,31004,,FH,,,
abdomen,fibroblast,31004,,MDH2,,,
abdomen,fibroblast,31004,,PC,,,
abdomen,T cell,87662,,CS,,,
abdomen,T cell,87662,,ACO2,,,
abdomen,T cell,87662,,IDH3A,,,
abdomen,T cell,87662,,OGDH,,,
abdomen,T cell,87662,,DLST,,,
abdomen,T cell,87662,,SUCLG1,,,
abdomen,T cell,87662,,SDHA,,,
abdomen,T cell,87662,,FH,,,
abdomen,T cell,87662,,MDH2,,,
abdomen,T cell,87662,,PC,,,
abdomen,B cell,6223,,CS,,,
abdomen,B cell,6223,,ACO2,,,
abdomen,B cell,6223,,IDH3A,,,
abdomen,B cell,6223,,OGDH,,,
abdomen,B cell,6223,,DLST,,,
abdomen,B cell,6223,,SUCLG1,,,
abdomen,B cell,6223,,SDHA,,,
abdomen,B cell,6223,,FH,,,
abdomen,B cell,6223,,MDH2,,,
abdomen,B cell,6223,,PC,,,
abdomen,plasma cell,5262,,CS,,,
abdomen,plasma cell,5262,,ACO2,,,
abdomen,plasma cell,5262,,IDH3A,,,
abdomen,plasma cell,5262,,OGDH,,,
abdomen,plasma cell,5262,,DLST,,,
abdomen,plasma cell,5262,,SUCLG1,,,
abdomen,plasma cell,5262,,SDHA,,,
abdomen,plasma cell,5262,,FH,,,
abdomen,plasma cell,5262,,MDH2,,,
abdomen,plasma cell,5262,,PC,,,
abdomen,dendritic cell,2773,,CS,,,
abdomen,dendritic cell,2773,,ACO2,,,
abdomen,dendritic cell,2773,,IDH3A,,,
abdomen,dendritic cell,2773,,OGDH,,,
abdomen,dendritic cell,2773,,DLST,,,
abdomen,dendritic cell,2773,,SUCLG1,,,
abdomen,dendritic cell,2773,,SDHA,,,
abdomen,dendritic cell,2773,,FH,,,
abdomen,dendritic cell,2773,,MDH2,,,
abdomen,dendritic cell,2773,,PC,,,
abdomen,monocyte,55020,,CS,,,
abdomen,monocyte,55020,,ACO2,,,
abdomen,monocyte,55020,,IDH3A,,,
abdomen,monocyte,55020,,OGDH,,,
abdomen,monocyte,55020,,DLST,,,
abdomen,monocyte,55020,,SUCLG1,,,
abdomen,monocyte,55020,,SDHA,,,
abdomen,monocyte,55020,,FH,,,
abdomen,monocyte,55020,,MDH2,,,
abdomen,monocyte,55020,,PC,,,
abdomen,endothelial cell,1362,,CS,,,
abdomen,endothelial cell,1362,,ACO2,,,
abdomen,endothelial cell,1362,,IDH3A,,,
abdomen,endothelial cell,1362,,OGDH,,,
abdomen,endothelial cell,1362,,DLST,,,
abdomen,endothelial cell,1362,,SUCLG1,,,
abdomen,endothelial cell,1362,,SDHA,,,
abdomen,endothelial cell,1362,,FH,,,
abdomen,endothelial cell,1362,,MDH2,,,
abdomen,endothelial cell,1362,,PC,,,
abdomen,mast cell,177,,CS,,,
abdomen,mast cell,177,,ACO2,,,
abdomen,mast cell,177,,IDH3A,,,
abdomen,mast cell,177,,OGDH,,,
abdomen,mast cell,177,,DLST,,,
abdomen,mast cell,177,,SUCLG1,,,
abdomen,mast cell,177,,SDHA,,,
abdomen,mast cell,177,,FH,,,
abdomen,mast cell,177,,MDH2,,,
abdomen,mast cell,177,,PC,,,
abdomen,fallopian tube secretory epithelial cell,53830,,CS,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ACO2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,IDH3A,,,
abdomen,fallopian tube secretory epithelial cell,53830,,OGDH,,,
abdomen,fallopian tube secretory epithelial cell,53830,,DLST,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SUCLG1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SDHA,,,
abdomen,fallopian tube secretory epithelial cell,53830,,FH,,,
abdomen,fallopian tube secretory epithelial cell,53830,,MDH2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,PC,,,
abdomen,lymphocyte of B lineage,11485,,CS,,,
abdomen,lymphocyte of B lineage,11485,,ACO2,,,
abdomen,lymphocyte of B lineage,11485,,IDH3A,,,
abdomen,lymphocyte of B lineage,11485,,OGDH,,,
abdomen,lymphocyte of B lineage,11485,,DLST,,,
abdomen,lymphocyte of B lineage,11485,,SUCLG1,,,
abdomen,lymphocyte of B lineage,11485,,SDHA,,,
abdomen,lymphocyte of B lineage,11485,,FH,,,
abdomen,lymphocyte of B lineage,11485,,MDH2,,,
abdomen,lymphocyte of B lineage,11485,,PC,,,
abdomen,mononuclear cell,156940,,CS,,,
abdomen,mononuclear cell,156940,,ACO2,,,
abdomen,mononuclear cell,156940,,IDH3A,,,
abdomen,mononuclear cell,156940,,OGDH,,,
abdomen,mononuclear cell,156940,,DLST,,,
abdomen,mononuclear cell,156940,,SUCLG1,,,
abdomen,mononuclear cell,156940,,SDHA,,,
abdomen,mononuclear cell,156940,,FH,,,
abdomen,mononuclear cell,156940,,MDH2,,,
abdomen,mononuclear cell,156940,,PC,,,
abdomen,myeloid leukocyte,55197,,CS,,,
abdomen,myeloid leukocyte,55197,,ACO2,,,
abdomen,myeloid leukocyte,55197,,IDH3A,,,
abdomen,myeloid leukocyte,55197,,OGDH,,,
abdomen,myeloid leukocyte,55197,,DLST,,,
abdomen,myeloid leukocyte,55197,,SUCLG1,,,
abdomen,myeloid leukocyte,55197,,SDHA,,,
abdomen,myeloid leukocyte,55197,,FH,,,
abdomen,myeloid leukocyte,55197,,MDH2,,,
abdomen,myeloid leukocyte,55197,,PC,,,
abdomen,leukocyte,157117,,CS,,,
abdomen,leukocyte,157117,,ACO2,,,
abdomen,leukocyte,157117,,IDH3A,,,
abdomen,leukocyte,157117,,OGDH,,,
abdomen,leukocyte,157117,,DLST,,,
abdomen,leukocyte,157117,,SUCLG1,,,
abdomen,leukocyte,157117,,SDHA,,,
abdomen,leukocyte,157117,,FH,,,
abdomen,leukocyte,157117,,MDH2,,,
abdomen,leukocyte,157117,,PC,,,
abdomen,lymphocyte,99147,,CS,,,
abdomen,lymphocyte,99147,,ACO2,,,
abdomen,lymphocyte,99147,,IDH3A,,,
abdomen,lymphocyte,99147,,OGDH,,,
abdomen,lymphocyte,99147,,DLST,,,
abdomen,lymphocyte,99147,,SUCLG1,,,
abdomen,lymphocyte,99147,,SDHA,,,
abdomen,lymphocyte,99147,,FH,,,
abdomen,lymphocyte,99147,,MDH2,,,
abdomen,lymphocyte,99147,,PC,,,
abdomen,secretory cell,54007,,CS,,,
abdomen,secretory cell,54007,,ACO2,,,
abdomen,secretory cell,54007,,IDH3A,,,
abdomen,secretory cell,54007,,OGDH,,,
abdomen,secretory cell,54007,,DLST,,,
abdomen,secretory cell,54007,,SUCLG1,,,
abdomen,secretory cell,54007,,SDHA,,,
abdomen,secretory cell,54007,,FH,,,
abdomen,secretory cell,54007,,MDH2,,,
abdomen,secretory cell,54007,,PC,,,
abdomen,mononuclear phagocyte,57793,,CS,,,
abdomen,mononuclear phagocyte,57793,,ACO2,,,
abdomen,mononuclear phagocyte,57793,,IDH3A,,,
abdomen,mononuclear phagocyte,57793,,OGDH,,,
abdomen,mononuclear phagocyte,57793,,DLST,,,
abdomen,mononuclear phagocyte,57793,,SUCLG1,,,
abdomen,mononuclear phagocyte,57793,,SDHA,,,
abdomen,mononuclear phagocyte,57793,,FH,,,
abdomen,mononuclear phagocyte,57793,,MDH2,,,
abdomen,mononuclear phagocyte,57793,,PC,,,
abdomen,epithelial cell,55192,,CS,,,
abdomen,epithelial cell,55192,,ACO2,,,
abdomen,epithelial cell,55192,,IDH3A,,,
abdomen,epithelial cell,55192,,OGDH,,,
abdomen,epithelial cell,55192,,DLST,,,
abdomen,epithelial cell,55192,,SUCLG1,,,
abdomen,epithelial cell,55192,,SDHA,,,
abdomen,epithelial cell,55192,,FH,,,
abdomen,epithelial cell,55192,,MDH2,,,
abdomen,epithelial cell,55192,,PC,,,
abdomen,cell,243313,,CS,,,
abdomen,cell,243313,,ACO2,,,
abdomen,cell,243313,,IDH3A,,,
abdomen,cell,243313,,OGDH,,,
abdomen,cell,243313,,DLST,,,
abdomen,cell,243313,,SUCLG1,,,
abdomen,cell,243313,,SDHA,,,
abdomen,cell,243313,,FH,,,
