# Created At: Thu Sep 25 2025 08:13:56 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CTLA4%2CPDCD1%2CHAVCR2%2CLAG3%2CTOX&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,aggregated,243313,3.45%,CTLA4,2.0302716946757884,0.21909365075884804,8405
abdomen,aggregated,243313,2.54%,PDCD1,1.8381693716588368,0.1537290819568078,6173
abdomen,aggregated,243313,7.60%,HAVCR2,1.8164360171323568,0.14633410971006472,18503
abdomen,aggregated,243313,4.99%,LAG3,1.9368247841367527,0.1872974865202308,12146
abdomen,aggregated,243313,2.74%,TOX,1.7643754752271703,0.12862003514922363,6658
abdomen,cell,243313,3.45%,CTLA4,2.0302716946757884,0.21909365075884804,8405
abdomen,cell,243313,2.54%,PDCD1,1.8381693716588368,0.1537290819568078,6173
abdomen,cell,243313,7.60%,HAVCR2,1.8164360171323568,0.14633410971006472,18503
abdomen,cell,243313,4.99%,LAG3,1.9368247841367527,0.1872974865202308,12146
abdomen,cell,243313,2.74%,TOX,1.7643754752271703,0.12862003514922363,6658
abdomen,epithelial cell,55192,0.01%,CTLA4,1.975501211065995,0.20045749379828157,19
abdomen,epithelial cell,55192,0.00%,PDCD1,2.2634849548339844,0.2984465911593311,3
abdomen,epithelial cell,55192,0.01%,HAVCR2,1.6576447804768881,0.09230394208626386,15
abdomen,epithelial cell,55192,0.03%,LAG3,1.8659695141936001,0.16318833419739479,73
abdomen,epithelial cell,55192,0.03%,TOX,1.8045716104628164,0.14229713704952004,79
abdomen,mononuclear phagocyte,57793,0.09%,CTLA4,1.717014520818537,0.11250503812911875,220
abdomen,mononuclear phagocyte,57793,0.01%,PDCD1,1.6485909854664522,0.08922330569631773,34
abdomen,mononuclear phagocyte,57793,3.95%,HAVCR2,1.7202373688560866,0.11360164159013124,9603
abdomen,mononuclear phagocyte,57793,0.14%,LAG3,1.669398561737241,0.09630327344160972,338
abdomen,mononuclear phagocyte,57793,0.01%,TOX,1.5955735483477194,0.07118363880509823,31
abdomen,secretory cell,54007,0.01%,CTLA4,1.9755128559313322,0.2004614560699999,19
abdomen,secretory cell,54007,0.00%,PDCD1,2.2634849548339844,0.2984465911593311,3
abdomen,secretory cell,54007,0.02%,HAVCR2,1.7322876388962205,0.11770185595897045,37
abdomen,secretory cell,54007,0.03%,LAG3,1.8775752967512105,0.16713730764328852,71
abdomen,secretory cell,54007,0.03%,TOX,1.8085997781635803,0.14366775787641917,81
abdomen,lymphocyte,99147,3.35%,CTLA4,2.0390596284611613,0.22208382544034364,8162
abdomen,lymphocyte,99147,2.52%,PDCD1,1.8390763826622107,0.1540377007293617,6134
abdomen,lymphocyte,99147,3.64%,HAVCR2,1.9212146986821312,0.18198601246473853,8859
abdomen,lymphocyte,99147,4.80%,LAG3,1.945938797401986,0.19039861272100805,11682
abdomen,lymphocyte,99147,2.68%,TOX,1.765220853595497,0.12890768285515672,6529
abdomen,leukocyte,157117,3.45%,CTLA4,2.0305845908386018,0.21920011653417498,8383
abdomen,leukocyte,157117,2.54%,PDCD1,1.8380263114563067,0.15368040441712866,6168
abdomen,leukocyte,157117,7.60%,HAVCR2,1.8166366012497295,0.14640236028681305,18484
abdomen,leukocyte,157117,4.94%,LAG3,1.9381273201584728,0.18774068629039362,12021
abdomen,leukocyte,157117,2.70%,TOX,1.764486098678196,0.12865767578814008,6563
abdomen,myeloid leukocyte,55197,0.09%,CTLA4,1.7185153786195528,0.11301571869484996,218
abdomen,myeloid leukocyte,55197,0.01%,PDCD1,1.6585041284561157,0.09259634307981228,32
abdomen,myeloid leukocyte,55197,3.94%,HAVCR2,1.7194571694629996,0.1133361716254383,9581
abdomen,myeloid leukocyte,55197,0.13%,LAG3,1.6712539672851563,0.09693459211432398,320
abdomen,myeloid leukocyte,55197,0.01%,TOX,1.6233818951775045,0.08064568263195031,34
abdomen,mononuclear cell,156940,3.44%,CTLA4,2.0306068808160345,0.2192077009024461,8382
abdomen,mononuclear cell,156940,2.54%,PDCD1,1.8380263114563067,0.15368040441712866,6168
abdomen,mononuclear cell,156940,7.59%,HAVCR2,1.816676441812913,0.1464159164020772,18462
abdomen,mononuclear cell,156940,4.94%,LAG3,1.9381624701019136,0.18775264637947706,12020
abdomen,mononuclear cell,156940,2.70%,TOX,1.7644191834984757,0.12863490728747834,6560
abdomen,lymphocyte of B lineage,11485,0.02%,CTLA4,1.8251360047538325,0.14929435990657414,53
abdomen,lymphocyte of B lineage,11485,0.01%,PDCD1,1.566110610961914,0.061158605439443764,13
