# Created At: Thu Sep 25 2025 08:53:49 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CPT1A%2CCPT2%2CSLC25A20%2CACADM%2CACADL%2CHADH%2CHADHA%2CHADHB%2CACAA2%2CPPARA%2CCD36%2CACOX1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,fibroblast,31004,,CPT1A,,,
abdomen,fibroblast,31004,,CPT2,,,
abdomen,fibroblast,31004,,SLC25A20,,,
abdomen,fibroblast,31004,,ACADM,,,
abdomen,fibroblast,31004,,ACADL,,,
abdomen,fibroblast,31004,,HADH,,,
abdomen,fibroblast,31004,,HADHA,,,
abdomen,fibroblast,31004,,HADHB,,,
abdomen,fibroblast,31004,,ACAA2,,,
abdomen,fibroblast,31004,,PPARA,,,
abdomen,fibroblast,31004,,CD36,,,
abdomen,fibroblast,31004,,ACOX1,,,
abdomen,T cell,87662,,CPT1A,,,
abdomen,T cell,87662,,CPT2,,,
abdomen,T cell,87662,,SLC25A20,,,
abdomen,T cell,87662,,ACADM,,,
abdomen,T cell,87662,,ACADL,,,
abdomen,T cell,87662,,HADH,,,
abdomen,T cell,87662,,HADHA,,,
abdomen,T cell,87662,,HADHB,,,
abdomen,T cell,87662,,ACAA2,,,
abdomen,T cell,87662,,PPARA,,,
abdomen,T cell,87662,,CD36,,,
abdomen,T cell,87662,,ACOX1,,,
abdomen,B cell,6223,,CPT1A,,,
abdomen,B cell,6223,,CPT2,,,
abdomen,B cell,6223,,SLC25A20,,,
abdomen,B cell,6223,,ACADM,,,
abdomen,B cell,6223,,ACADL,,,
abdomen,B cell,6223,,HADH,,,
abdomen,B cell,6223,,HADHA,,,
abdomen,B cell,6223,,HADHB,,,
abdomen,B cell,6223,,ACAA2,,,
abdomen,B cell,6223,,PPARA,,,
abdomen,B cell,6223,,CD36,,,
abdomen,B cell,6223,,ACOX1,,,
abdomen,plasma cell,5262,,CPT1A,,,
abdomen,plasma cell,5262,,CPT2,,,
abdomen,plasma cell,5262,,SLC25A20,,,
abdomen,plasma cell,5262,,ACADM,,,
abdomen,plasma cell,5262,,ACADL,,,
abdomen,plasma cell,5262,,HADH,,,
abdomen,plasma cell,5262,,HADHA,,,
abdomen,plasma cell,5262,,HADHB,,,
abdomen,plasma cell,5262,,ACAA2,,,
abdomen,plasma cell,5262,,PPARA,,,
abdomen,plasma cell,5262,,CD36,,,
abdomen,plasma cell,5262,,ACOX1,,,
abdomen,dendritic cell,2773,,CPT1A,,,
abdomen,dendritic cell,2773,,CPT2,,,
abdomen,dendritic cell,2773,,SLC25A20,,,
abdomen,dendritic cell,2773,,ACADM,,,
abdomen,dendritic cell,2773,,ACADL,,,
abdomen,dendritic cell,2773,,HADH,,,
abdomen,dendritic cell,2773,,HADHA,,,
abdomen,dendritic cell,2773,,HADHB,,,
abdomen,dendritic cell,2773,,ACAA2,,,
abdomen,dendritic cell,2773,,PPARA,,,
abdomen,dendritic cell,2773,,CD36,,,
abdomen,dendritic cell,2773,,ACOX1,,,
abdomen,monocyte,55020,,CPT1A,,,
abdomen,monocyte,55020,,CPT2,,,
abdomen,monocyte,55020,,SLC25A20,,,
abdomen,monocyte,55020,,ACADM,,,
abdomen,monocyte,55020,,ACADL,,,
abdomen,monocyte,55020,,HADH,,,
abdomen,monocyte,55020,,HADHA,,,
abdomen,monocyte,55020,,HADHB,,,
abdomen,monocyte,55020,,ACAA2,,,
abdomen,monocyte,55020,,PPARA,,,
abdomen,monocyte,55020,,CD36,,,
abdomen,monocyte,55020,,ACOX1,,,
abdomen,endothelial cell,1362,,CPT1A,,,
abdomen,endothelial cell,1362,,CPT2,,,
abdomen,endothelial cell,1362,,SLC25A20,,,
abdomen,endothelial cell,1362,,ACADM,,,
abdomen,endothelial cell,1362,,ACADL,,,
abdomen,endothelial cell,1362,,HADH,,,
abdomen,endothelial cell,1362,,HADHA,,,
abdomen,endothelial cell,1362,,HADHB,,,
abdomen,endothelial cell,1362,,ACAA2,,,
abdomen,endothelial cell,1362,,PPARA,,,
abdomen,endothelial cell,1362,,CD36,,,
abdomen,endothelial cell,1362,,ACOX1,,,
abdomen,mast cell,177,,CPT1A,,,
abdomen,mast cell,177,,CPT2,,,
abdomen,mast cell,177,,SLC25A20,,,
abdomen,mast cell,177,,ACADM,,,
abdomen,mast cell,177,,ACADL,,,
abdomen,mast cell,177,,HADH,,,
abdomen,mast cell,177,,HADHA,,,
abdomen,mast cell,177,,HADHB,,,
abdomen,mast cell,177,,ACAA2,,,
abdomen,mast cell,177,,PPARA,,,
abdomen,mast cell,177,,CD36,,,
abdomen,mast cell,177,,ACOX1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,CPT1A,,,
abdomen,fallopian tube secretory epithelial cell,53830,,CPT2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,SLC25A20,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ACADM,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ACADL,,,
abdomen,fallopian tube secretory epithelial cell,53830,,HADH,,,
abdomen,fallopian tube secretory epithelial cell,53830,,HADHA,,,
abdomen,fallopian tube secretory epithelial cell,53830,,HADHB,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ACAA2,,,
abdomen,fallopian tube secretory epithelial cell,53830,,PPARA,,,
abdomen,fallopian tube secretory epithelial cell,53830,,CD36,,,
abdomen,fallopian tube secretory epithelial cell,53830,,ACOX1,,,
abdomen,lymphocyte of B lineage,11485,,CPT1A,,,
abdomen,lymphocyte of B lineage,11485,,CPT2,,,
abdomen,lymphocyte of B lineage,11485,,SLC25A20,,,
abdomen,lymphocyte of B lineage,11485,,ACADM,,,
abdomen,lymphocyte of B lineage,11485,,ACADL,,,
abdomen,lymphocyte of B lineage,11485,,HADH,,,
abdomen,lymphocyte of B lineage,11485,,HADHA,,,
abdomen,lymphocyte of B lineage,11485,,HADHB,,,
abdomen,lymphocyte of B lineage,11485,,ACAA2,,,
abdomen,lymphocyte of B lineage,11485,,PPARA,,,
abdomen,lymphocyte of B lineage,11485,,CD36,,,
abdomen,lymphocyte of B lineage,11485,,ACOX1,,,
abdomen,mononuclear cell,156940,,CPT1A,,,
abdomen,mononuclear cell,156940,,CPT2,,,
abdomen,mononuclear cell,156940,,SLC25A20,,,
abdomen,mononuclear cell,156940,,ACADM,,,
abdomen,mononuclear cell,156940,,ACADL,,,
abdomen,mononuclear cell,156940,,HADH,,,
abdomen,mononuclear cell,156940,,HADHA,,,
abdomen,mononuclear cell,156940,,HADHB,,,
abdomen,mononuclear cell,156940,,ACAA2,,,
abdomen,mononuclear cell,156940,,PPARA,,,
abdomen,mononuclear cell,156940,,CD36,,,
abdomen,mononuclear cell,156940,,ACOX1,,,
abdomen,myeloid leukocyte,55197,,CPT1A,,,
abdomen,myeloid leukocyte,55197,,CPT2,,,
