# Created At: Thu Sep 25 2025 09:26:39 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=LDHB%2CPDHB%2CGSR%2CPDP1%2CFOXM1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,aggregated,243313,,LDHB,,,
abdomen,aggregated,243313,,PDHB,,,
abdomen,aggregated,243313,,GSR,,,
abdomen,aggregated,243313,,PDP1,,,
abdomen,aggregated,243313,,FOXM1,,,
abdomen,cell,243313,,LDHB,,,
abdomen,cell,243313,,PDHB,,,
abdomen,cell,243313,,GSR,,,
abdomen,cell,243313,,PDP1,,,
abdomen,cell,243313,,FOXM1,,,
abdomen,epithelial cell,55192,,LDHB,,,
abdomen,epithelial cell,55192,,PDHB,,,
abdomen,epithelial cell,55192,,GSR,,,
abdomen,epithelial cell,55192,,PDP1,,,
abdomen,epithelial cell,55192,,FOXM1,,,
abdomen,mononuclear phagocyte,57793,,LDHB,,,
abdomen,mononuclear phagocyte,57793,,PDHB,,,
abdomen,mononuclear phagocyte,57793,,GSR,,,
abdomen,mononuclear phagocyte,57793,,PDP1,,,
abdomen,mononuclear phagocyte,57793,,FOXM1,,,
abdomen,secretory cell,54007,,LDHB,,,
abdomen,secretory cell,54007,,PDHB,,,
abdomen,secretory cell,54007,,GSR,,,
abdomen,secretory cell,54007,,PDP1,,,
abdomen,secretory cell,54007,,FOXM1,,,
abdomen,lymphocyte,99147,,LDHB,,,
abdomen,lymphocyte,99147,,PDHB,,,
abdomen,lymphocyte,99147,,GSR,,,
abdomen,lymphocyte,99147,,PDP1,,,
abdomen,lymphocyte,99147,,FOXM1,,,
abdomen,leukocyte,157117,,LDHB,,,
abdomen,leukocyte,157117,,PDHB,,,
abdomen,leukocyte,157117,,GSR,,,
abdomen,leukocyte,157117,,PDP1,,,
abdomen,leukocyte,157117,,FOXM1,,,
abdomen,myeloid leukocyte,55197,,LDHB,,,
abdomen,myeloid leukocyte,55197,,PDHB,,,
abdomen,myeloid leukocyte,55197,,GSR,,,
abdomen,myeloid leukocyte,55197,,PDP1,,,
abdomen,myeloid leukocyte,55197,,FOXM1,,,
abdomen,mononuclear cell,156940,,LDHB,,,
abdomen,mononuclear cell,156940,,PDHB,,,
abdomen,mononuclear cell,156940,,GSR,,,
abdomen,mononuclear cell,156940,,PDP1,,,
abdomen,mononuclear cell,156940,,FOXM1,,,
abdomen,lymphocyte of B lineage,11485,,LDHB,,,
abdomen,lymphocyte of B lineage,11485,,PDHB,,,
abdomen,lymphocyte of B lineage,11485,,GSR,,,
abdomen,lymphocyte of B lineage,11485,,PDP1,,,
abdomen,lymphocyte of B lineage,11485,,FOXM1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,LDHB,,,
abdomen,fallopian tube secretory epithelial cell,53830,,PDHB,,,
abdomen,fallopian tube secretory epithelial cell,53830,,GSR,,,
abdomen,fallopian tube secretory epithelial cell,53830,,PDP1,,,
abdomen,fallopian tube secretory epithelial cell,53830,,FOXM1,,,
abdomen,mast cell,177,,LDHB,,,
abdomen,mast cell,177,,PDHB,,,
abdomen,mast cell,177,,GSR,,,
abdomen,mast cell,177,,PDP1,,,
abdomen,mast cell,177,,FOXM1,,,
abdomen,endothelial cell,1362,,LDHB,,,
abdomen,endothelial cell,1362,,PDHB,,,
abdomen,endothelial cell,1362,,GSR,,,
abdomen,endothelial cell,1362,,PDP1,,,
abdomen,endothelial cell,1362,,FOXM1,,,
abdomen,monocyte,55020,,LDHB,,,
abdomen,monocyte,55020,,PDHB,,,
abdomen,monocyte,55020,,GSR,,,
abdomen,monocyte,55020,,PDP1,,,
abdomen,monocyte,55020,,FOXM1,,,
abdomen,dendritic cell,2773,,LDHB,,,
abdomen,dendritic cell,2773,,PDHB,,,
abdomen,dendritic cell,2773,,GSR,,,
abdomen,dendritic cell,2773,,PDP1,,,
abdomen,dendritic cell,2773,,FOXM1,,,
abdomen,plasma cell,5262,,LDHB,,,
abdomen,plasma cell,5262,,PDHB,,,
abdomen,plasma cell,5262,,GSR,,,
abdomen,plasma cell,5262,,PDP1,,,
abdomen,plasma cell,5262,,FOXM1,,,
abdomen,B cell,6223,,LDHB,,,
abdomen,B cell,6223,,PDHB,,,
abdomen,B cell,6223,,GSR,,,
abdomen,B cell,6223,,PDP1,,,
abdomen,B cell,6223,,FOXM1,,,
abdomen,T cell,87662,,LDHB,,,
abdomen,T cell,87662,,PDHB,,,
abdomen,T cell,87662,,GSR,,,
abdomen,T cell,87662,,PDP1,,,
abdomen,T cell,87662,,FOXM1,,,
abdomen,fibroblast,31004,,LDHB,,,
abdomen,fibroblast,31004,,PDHB,,,
abdomen,fibroblast,31004,,GSR,,,
abdomen,fibroblast,31004,,PDP1,,,
abdomen,fibroblast,31004,,FOXM1,,,
adipose tissue,aggregated,448895,6.70%,LDHB,1.8113863042972127,0.1582523389472898,30066
adipose tissue,aggregated,448895,1.91%,PDHB,1.7802088279880186,0.14663129445470052,8555
adipose tissue,aggregated,448895,2.65%,GSR,1.794649716889787,0.15201396913868387,11877
adipose tissue,aggregated,448895,1.32%,PDP1,1.7887039145822752,0.14979773994570847,5907
adipose tissue,aggregated,448895,0.51%,FOXM1,1.7737943290680633,0.14424036400839998,2303
adipose tissue,cell,448895,6.70%,LDHB,1.8113863042972127,0.1582523389472898,30066
adipose tissue,cell,448895,1.91%,PDHB,1.7802088279880186,0.14663129445470052,8555
adipose tissue,cell,448895,2.65%,GSR,1.794649716889787,0.15201396913868387,11877
adipose tissue,cell,448895,1.32%,PDP1,1.7887039145822752,0.14979773994570847,5907
adipose tissue,cell,448895,0.51%,FOXM1,1.7737943290680633,0.14424036400839998,2303
adipose tissue,blood cell,3586,0.01%,LDHB,1.7405203410557337,0.1318378689731256,28
adipose tissue,blood cell,3586,0.00%,PDHB,1.5497533798217773,0.060731685707031545,20
adipose tissue,blood cell,3586,0.07%,GSR,1.671201605545847,0.10600011028023014,304
adipose tissue,blood cell,3586,0.00%,PDP1,1.7281436920166016,0.12722461587571238,13
adipose tissue,blood cell,3586,0.00%,FOXM1,1.508285681406657,0.04527507967810555,3
adipose tissue,mononuclear phagocyte,61597,0.49%,LDHB,1.8074938841540404,0.156801484259147,2178
adipose tissue,mononuclear phagocyte,61597,0.23%,PDHB,1.7930873024360592,0.15143159718200047,1041
adipose tissue,mononuclear phagocyte,61597,0.48%,GSR,1.8008807687198414,0.1543365217992832,2176
adipose tissue,mononuclear phagocyte,61597,0.20%,PDP1,1.7952601880399943,0.15224151521482054,897
adipose tissue,mononuclear phagocyte,61597,0.09%,FOXM1,1.756798553466797,0.13790538479168463,400
adipose tissue,professional antigen presenting cell,57968,0.47%,LDHB,1.8041513389684984,0.15555558911566425,2111
adipose tissue,professional antigen presenting cell,57968,0.22%,PDHB,1.788008794987045,0.14953864213856943,989
adipose tissue,professional antigen presenting cell,57968,0.45%,GSR,1.7972157796223958,0.15297043940878163,2016
adipose tissue,professional antigen presenting cell,57968,0.18%,PDP1,1.786037970903822,0.14880404020571686,798
adipose tissue,professional antigen presenting cell,57968,0.08%,FOXM1,1.7516097005208333,0.13597129973770083,375
adipose tissue,secretory cell,2726,0.04%,LDHB,1.935743782388505,0.2046051537663306,199
adipose tissue,secretory cell,2726,0.01%,PDHB,1.9413448269084348,0.20669287847263984,59
adipose tissue,secretory cell,2726,0.03%,GSR,1.943309572007921,0.2074252145344587,144
adipose tissue,secretory cell,2726,0.01%,PDP1,1.7851770841158354,0.1484831545905035,26
adipose tissue,secretory cell,2726,0.01%,FOXM1,1.846832275390625,0.1714644156104065,25
adipose tissue,contractile cell,16234,0.34%,LDHB,1.8753640468544812,0.18209930415448294,1523
adipose tissue,contractile cell,16234,0.10%,PDHB,1.8558420580486918,0.17482270811938286,430
adipose tissue,contractile cell,16234,0.08%,GSR,1.8879301689040493,0.18678318112993506,355
adipose tissue,contractile cell,16234,0.04%,PDP1,1.8659791604066507,0.17860119603673336,195
adipose tissue,contractile cell,16234,0.01%,FOXM1,1.8803568522135417,0.18396031473292315,45
adipose tissue,myeloid leukocyte,65250,0.50%,LDHB,1.8084810026099822,0.15716942127182215,2239
adipose tissue,myeloid leukocyte,65250,0.23%,PDHB,1.8003441557216184,0.15413650549694344,1035
adipose tissue,myeloid leukocyte,65250,0.56%,GSR,1.7928485636377127,0.1513426100500666,2527
adipose tissue,myeloid leukocyte,65250,0.19%,PDP1,1.7883791099430124,0.14967667276481034,839
adipose tissue,myeloid leukocyte,65250,0.09%,FOXM1,1.7564854431152344,0.1377886765215696,400
adipose tissue,mature B cell,140,0.01%,LDHB,1.7132952459927262,0.12169002897785046,58
adipose tissue,mature B cell,140,0.00%,PDHB,1.5751239231654577,0.0701882629512625,14
adipose tissue,mature B cell,140,0.00%,GSR,1.5774933099746704,0.07107142454064025,8
adipose tissue,mature B cell,140,0.00%,PDP1,1.580424149831136,0.07216386127396869,3
adipose tissue,mature B cell,140,,FOXM1,,,
adipose tissue,memory B cell,125,0.01%,LDHB,1.7202374594552177,0.12427765892982559,56
adipose tissue,memory B cell,125,0.00%,PDHB,1.5427496910095215,0.058121141527884106,10
adipose tissue,memory B cell,125,0.00%,GSR,1.5772198268345423,0.07096948685627212,7
adipose tissue,memory B cell,125,0.00%,PDP1,1.4858689308166504,0.036919494594750954,1
adipose tissue,memory B cell,125,,FOXM1,,,
adipose tissue,alpha-beta T cell,20182,1.55%,LDHB,1.8614759828412026,0.17692268856784407,6968
adipose tissue,alpha-beta T cell,20182,0.10%,PDHB,1.6425639977615871,0.09532577246912052,445
adipose tissue,alpha-beta T cell,20182,0.07%,GSR,1.8065312780282288,0.15644268393464486,331
adipose tissue,alpha-beta T cell,20182,0.07%,PDP1,1.6281126957790109,0.08993921642943756,314
adipose tissue,alpha-beta T cell,20182,0.01%,FOXM1,1.716394910625383,0.12284539319819271,51
adipose tissue,mature alpha-beta T cell,17631,1.51%,LDHB,1.8569992824551074,0.17525405016200032,6794
adipose tissue,mature alpha-beta T cell,17631,0.08%,PDHB,1.5593932586756374,0.06432483930140515,353
adipose tissue,mature alpha-beta T cell,17631,0.04%,GSR,1.5948637032214505,0.07754603816146999,162
adipose tissue,mature alpha-beta T cell,17631,0.06%,PDP1,1.5874448178419427,0.07478073425342864,268
adipose tissue,mature alpha-beta T cell,17631,0.01%,FOXM1,1.5180258915342133,0.0489056305968828,29
adipose tissue,memory T cell,140,0.02%,LDHB,1.903538889699168,0.19260115167487576,77
adipose tissue,memory T cell,140,0.00%,PDHB,1.6441731770833334,0.09592557549067086,15
