,sex,age_range,cases
0,1,0–4,1430
1,1,10–14,466
2,1,15–19,2274
3,1,20–24,5930
4,1,25–29,10908
5,1,30–34,22179
6,1,35–39,43392
7,1,40–44,90307
8,1,45–49,182826
9,1,50–54,349048
10,1,55–59,586361
11,1,5–9,400
12,1,60–64,849858
13,1,65–69,1123923
14,1,70–74,1266710
15,1,75–79,1235576
16,2,0–4,750
17,2,10–14,280
18,2,15–19,1204
19,2,20–24,2568
20,2,25–29,4942
21,2,30–34,9038
22,2,35–39,16869
23,2,40–44,31698
24,2,45–49,59675
25,2,50–54,111317
26,2,55–59,172382
27,2,5–9,216
28,2,60–64,239974
29,2,65–69,316582
30,2,70–74,366352
31,2,75–79,387652
