,sex,age_range,cases
0,1,0–4,63773
1,1,10–14,45279
2,1,15–19,39837
3,1,20–24,42146
4,1,25–29,56754
5,1,30–34,71022
6,1,35–39,80635
7,1,40–44,96735
8,1,45–49,122453
9,1,50–54,153818
10,1,55–59,180283
11,1,5–9,55303
12,1,60–64,192805
13,1,65–69,190789
14,1,70–74,165063
15,1,75–79,131260
16,2,0–4,55168
17,2,10–14,38174
18,2,15–19,30453
19,2,20–24,32379
20,2,25–29,43428
21,2,30–34,52001
22,2,35–39,58312
23,2,40–44,68515
24,2,45–49,83582
25,2,50–54,106269
26,2,55–59,127361
27,2,5–9,46083
28,2,60–64,139872
29,2,65–69,145244
30,2,70–74,137275
31,2,75–79,121268
