,sex,age_range,cases
0,1,0–4,47
1,1,10–14,1183
2,1,15–19,3192
3,1,20–24,6231
4,1,25–29,12494
5,1,30–34,24655
6,1,35–39,45608
7,1,40–44,84223
8,1,45–49,152506
9,1,50–54,276165
10,1,55–59,381961
11,1,5–9,188
12,1,60–64,509174
13,1,65–69,628452
14,1,70–74,668896
15,1,75–79,631684
16,2,0–4,58
17,2,10–14,1710
18,2,15–19,4183
19,2,20–24,6933
20,2,25–29,12834
21,2,30–34,24328
22,2,35–39,45288
23,2,40–44,84087
24,2,45–49,145370
25,2,50–54,243728
26,2,55–59,311413
27,2,5–9,258
28,2,60–64,400602
29,2,65–69,510799
30,2,70–74,599336
31,2,75–79,658494
