,sex,age_range,cases
0,1,0–4,1048
1,1,10–14,826
2,1,15–19,2590
3,1,20–24,5660
4,1,25–29,11128
5,1,30–34,26716
6,1,35–39,73089
7,1,40–44,211437
8,1,45–49,513603
9,1,50–54,1065802
10,1,55–59,1807457
11,1,5–9,304
12,1,60–64,2563999
13,1,65–69,3181330
14,1,70–74,3304905
15,1,75–79,2825287
16,2,0–4,840
17,2,10–14,730
18,2,15–19,2132
19,2,20–24,5286
20,2,25–29,10574
21,2,30–34,24505
22,2,35–39,65528
23,2,40–44,177182
24,2,45–49,396515
25,2,50–54,735471
26,2,55–59,1143306
27,2,5–9,308
28,2,60–64,1553039
29,2,65–69,1965197
30,2,70–74,2122435
31,2,75–79,1941306
