,sex,age_range,cases
0,1,0–4,653
1,1,10–14,2188
2,1,15–19,8364
3,1,20–24,19146
4,1,25–29,36715
5,1,30–34,57676
6,1,35–39,81620
7,1,40–44,113563
8,1,45–49,151556
9,1,50–54,197824
10,1,55–59,236192
11,1,5–9,814
12,1,60–64,266732
13,1,65–69,287071
14,1,70–74,273054
15,1,75–79,242525
16,2,0–4,728
17,2,10–14,2351
18,2,15–19,12649
19,2,20–24,39268
20,2,25–29,68924
21,2,30–34,95059
22,2,35–39,117238
23,2,40–44,143829
24,2,45–49,167063
25,2,50–54,179321
26,2,55–59,176598
27,2,5–9,1022
28,2,60–64,175640
29,2,65–69,172351
30,2,70–74,156520
31,2,75–79,140162
