,sex,age_range,cases
0,1,0–4,6
1,1,10–14,38
2,1,15–19,154
3,1,20–24,654
4,1,25–29,1830
5,1,30–34,4545
6,1,35–39,13288
7,1,40–44,37475
8,1,45–49,89514
9,1,50–54,173714
10,1,55–59,265376
11,1,5–9,14
12,1,60–64,337670
13,1,65–69,363023
14,1,70–74,339427
15,1,75–79,276830
16,2,0–4,14
17,2,10–14,36
18,2,15–19,100
19,2,20–24,332
20,2,25–29,818
21,2,30–34,1780
22,2,35–39,4254
23,2,40–44,9926
24,2,45–49,21192
25,2,50–54,40234
26,2,55–59,61585
27,2,5–9,10
28,2,60–64,82249
29,2,65–69,100645
30,2,70–74,114708
31,2,75–79,118323
