,sex,age_range,cases
0,1,0–4,98
1,1,10–14,167
2,1,15–19,331
3,1,20–24,765
4,1,25–29,1702
5,1,30–34,4635
6,1,35–39,11507
7,1,40–44,27243
8,1,45–49,56754
9,1,50–54,104098
10,1,55–59,158048
11,1,5–9,84
12,1,60–64,207642
13,1,65–69,242110
14,1,70–74,246568
15,1,75–79,220032
16,2,0–4,88
17,2,10–14,372
18,2,15–19,757
19,2,20–24,1296
20,2,25–29,2166
21,2,30–34,4314
22,2,35–39,8890
23,2,40–44,19113
24,2,45–49,38039
25,2,50–54,68827
26,2,55–59,108723
27,2,5–9,122
28,2,60–64,151488
29,2,65–69,194374
30,2,70–74,226881
31,2,75–79,241768
