,sex,age_range,cases
0,1,0–4,83
1,1,10–14,126
2,1,15–19,645
3,1,20–24,2341
4,1,25–29,6473
5,1,30–34,15836
6,1,35–39,33156
7,1,40–44,64718
8,1,45–49,110744
9,1,50–54,177283
10,1,55–59,247915
11,1,5–9,59
12,1,60–64,314994
13,1,65–69,362551
14,1,70–74,369321
15,1,75–79,317700
16,2,0–4,47
17,2,10–14,187
18,2,15–19,734
19,2,20–24,2734
20,2,25–29,7525
21,2,30–34,17536
22,2,35–39,30098
23,2,40–44,47096
24,2,45–49,62989
25,2,50–54,83930
26,2,55–59,105380
27,2,5–9,68
28,2,60–64,131994
29,2,65–69,166460
30,2,70–74,196717
31,2,75–79,206894
